Public Flag|Attending SAU_ID|SAU|SAU Type|School ID|School|4YO|EK|K|G1|G2|G3|G4|G5|G6|G7|G8|G9|G10|G11|G12|Student Count|Responded (Y/N)
Y|1000|Acton|Municipality|1129|Acton Elementary School|25|1|14|21|15|36|17|16|22|26|17|0|0|0|0|210|N
Y|1284|Airline CSD|AOS Member Entity|1835|Airline Community School|5|0|3|3|3|6|2|9|2|1|7|0|0|0|0|41|N
Y|1001|Alexander|AOS Member Entity|1130|Alexander Elementary|3|0|2|5|7|3|2|3|5|3|5|0|0|0|0|38|N
Y|3238|Andover|Municipality|1643|Andover Elementary School|0|0|4|9|2|5|4|6|0|0|0|0|0|0|0|30|N
Y|1004|Appleton|Union|1132|Appleton Village School|0|0|14|13|20|12|14|17|9|17|17|0|0|0|0|133|N
Y|1296|Arthur R. Gould Sch--LCYDC|State Operated|1854|Arthur R. Gould Sch--LCYDC|0|0|0|0|0|0|0|0|0|0|0|0|9|7|22|38|N
Y|3231|Athens|Municipality|1737|Athens Community School|5|3|8|13|9|8|12|11|8|9|15|0|0|0|0|101|Y
Y|1007|Auburn|Municipality|1144|Auburn Middle School|0|0|0|0|0|0|0|0|0|285|267|0|0|0|0|552|N
Y|1007|Auburn|Municipality|1134|East Auburn Community School|16|0|23|25|29|22|25|17|19|0|0|0|0|0|0|176|N
Y|1007|Auburn|Municipality|1142|Edward Little High School|0|0|0|0|0|0|0|0|0|0|0|259|232|270|246|1007|N
Y|1007|Auburn|Municipality|1135|Fairview School|56|5|70|83|70|72|62|83|69|0|0|0|0|0|0|570|N
Y|1007|Auburn|Municipality|1908|Park Avenue Elementary School|30|1|55|57|44|53|53|45|55|0|0|0|0|0|0|393|N
Y|1007|Auburn|Municipality|1143|Sherwood Heights Elementary Sch|37|1|50|49|43|55|59|49|45|0|0|0|0|0|0|388|N
Y|1007|Auburn|Municipality|1140|Walton School|25|0|37|27|34|30|32|28|43|0|0|0|0|0|0|256|N
Y|1007|Auburn|Municipality|1138|Washburn School|17|0|36|33|31|34|34|33|30|0|0|0|0|0|0|248|Y
Y|1008|Augusta|Municipality|2602|Cony|0|0|0|0|0|0|0|0|0|161|146|178|181|157|175|998|Y
Y|1008|Augusta|Municipality|1151|Farrington School|0|0|52|60|52|62|47|49|48|0|0|0|0|0|0|370|N
Y|1008|Augusta|Municipality|1148|Lillian Parks Hussey School|0|0|39|40|43|35|42|41|41|0|0|0|0|0|0|281|Y
Y|1008|Augusta|Municipality|1152|Lincoln School|0|0|44|40|40|46|40|38|44|0|0|0|0|0|0|292|Y
Y|1008|Augusta|Municipality|1150|Sylvio J Gilbert School|97|0|42|34|33|41|32|24|42|0|0|0|0|0|0|345|N
Y|1009|Baileyville|AOS Member Entity|1155|Woodland Elementary School|16|0|15|16|14|25|20|17|15|0|0|0|0|0|0|138|N
Y|1009|Baileyville|AOS Member Entity|1154|Woodland Jr-Sr High School|0|0|0|0|0|0|0|0|0|22|22|33|26|32|32|167|N
Y|1011|Bangor|Municipality|1158|Abraham Lincoln School|27|1|54|51|39|48|0|0|0|0|0|0|0|0|0|220|N
Y|1011|Bangor|Municipality|1165|Bangor High School|0|0|0|0|0|0|0|0|0|0|0|310|285|293|277|1165|Y
Y|1011|Bangor|Municipality|1161|Downeast School|40|0|74|74|91|73|0|0|0|0|0|0|0|0|0|352|N
Y|1011|Bangor|Municipality|1156|Fairmount School|0|0|0|0|0|0|133|160|0|0|0|0|0|0|0|293|N
Y|1011|Bangor|Municipality|1162|Fourteenth Street School|19|0|28|23|35|32|0|0|0|0|0|0|0|0|0|137|N
Y|1011|Bangor|Municipality|1157|Fruit Street School|37|2|74|75|81|80|0|0|0|0|0|0|0|0|0|349|N
