District ID|SAU|School Year|Total Graduates|Graduation Rate
1007|Auburn|2014-15|204|80.0
1008|Augusta|2014-15|155|81.6
1009|Baileyville|2014-15|38|90.5
1011|Bangor|2014-15|242|87.4
1016|Biddeford|2014-15|175|84.5
3154|Blue Hill Harbor School|2014-15|**|**
1281|Boothbay-Boothbay Hbr CSD|2014-15|44|91.7
1021|Brewer|2014-15|158|88.3
1026|Brunswick|2014-15|213|92.6
1028|Calais|2014-15|48|85.7
1029|Cape Elizabeth|2014-15|133|97.8
1289|Deer Isle-Stonington CSD|2014-15|22|71.0
1052|East Millinocket|2014-15|29|87.9
1053|Easton|2014-15|26|92.9
1054|Eastport|2014-15|24|92.3
1056|Ellsworth|2014-15|94|77.0
1332|Erskine Academy|2014-15|128|97.0
1057|Falmouth|2014-15|178|99.4
1294|Five Town CSD|2014-15|144|91.7
1335|Foxcroft Academy|2014-15|92|89.3
1348|Fryeburg Academy|2014-15|92|92.0
1320|George Stevens Academy|2014-15|69|95.8
1065|Gorham|2014-15|180|90.9
1070|Greenville|2014-15|22|100.0
1074|Hermon|2014-15|118|94.4
1079|Islesboro|2014-15|12|100.0
1307|John Bapst Memorial High School|2014-15|90|98.9
1085|Kittery|2014-15|50|73.5
1356|Lee Academy|2014-15|40|95.2
1088|Lewiston|2014-15|210|69.3
1364|Lincoln Academy|2014-15|96|92.3
1092|Lisbon|2014-15|87|91.6
1095|Machias|2014-15|21|80.8
1097|Madawaska|2014-15|36|92.3
3200|Maine Academy of Natural Sciences|2014-15|19|73.1
1369|Maine Central Institute|2014-15|70|98.6
3237|Maine Connections Academy|2014-15|**|**
1295|ME Sch of Science & Mathematics|2014-15|38|92.7
1107|Millinocket|2014-15|53|94.6
1292|Moosabec CSD|2014-15|18|90.0
1221|MSAD 27|2014-15|63|91.3
1240|MSAD 46|2014-15|71|81.6
1283|Mt Desert CSD|2014-15|105|86.8
1134|Portland|2014-15|472|84.0
3152|RSU 01|2014-15|138|79.8
3156|RSU 02|2014-15|145|86.3
1197|RSU 03/MSAD 03|2014-15|111|91.7
3157|RSU 04|2014-15|79|76.0
3158|RSU 05|2014-15|122|98.4
1200|RSU 06/MSAD 06|2014-15|241|78.5
1201|RSU 07/MSAD 07|2014-15|**|**
1202|RSU 08/MSAD 08|2014-15|16|88.9
3206|RSU 09|2014-15|156|85.7
3159|RSU 10|2014-15|174|87.0
1205|RSU 11/MSAD 11|2014-15|140|87.5
3161|RSU 13|2014-15|143|77.7
3162|RSU 14|2014-15|230|90.2
1209|RSU 15/MSAD 15|2014-15|114|91.9
3163|RSU 16|2014-15|116|87.9
1211|RSU 17/MSAD 17|2014-15|214|80.1
3164|RSU 18|2014-15|169|90.9
3165|RSU 19|2014-15|147|88.6
3166|RSU 20|2014-15|141|81.5
3167|RSU 21|2014-15|170|92.9
3217|RSU 22|2014-15|153|89.0
3168|RSU 23|2014-15|51|92.7
3169|RSU 24|2014-15|56|83.6
3170|RSU 25|2014-15|81|88.0
3171|RSU 26|2014-15|91|94.8
1223|RSU 29/MSAD 29|2014-15|77|88.5
