TOWN,COUNTY,GEOCODE,GEOCODENUM,CNTYCODE,LAND,TAG,ISLAND,CIREG,LURC,BAXTER,ISLANDID,TYPE,DOT_REGNUM,DOT_REGION,Maine,XCOORD,YCOORD
T10 R8 WELS,Aroostook,03832,3832,03,y,y,n,,y,n,0,,5,NORTHERN,1,-68.758119,46.527901
Guilford,Piscataquis,21100,21100,21,y,y,n,,n,n,0,,4,EASTERN,1,-69.350641,45.211258
Eagle Lake Twp,Piscataquis,21807,21807,21,y,y,n,,y,n,0,,5,NORTHERN,1,-69.409400,46.350629
Westbrook,Cumberland,05240,5240,05,y,y,n,,n,n,0,,1,SOUTHERN,1,-70.353835,43.695383
T10 R11 WELS,Piscataquis,21887,21887,21,y,y,n,,y,n,0,,5,NORTHERN,1,-69.150382,46.527304
Chase Stream Twp,Somerset,25816,25816,25,y,y,n,,y,n,0,,3,WESTERN,1,-69.913558,45.487407
T3 R7 WELS,Penobscot,19821,19821,19,y,y,n,,y,n,0,,5,NORTHERN,1,-68.626598,45.899794
Minot,Androscoggin,01100,1100,01,y,y,n,,n,n,0,,1,SOUTHERN,1,-70.337953,44.148270
T11 R15 WELS,Aroostook,03842,3842,03,y,y,n,,y,n,0,,5,NORTHERN,1,-69.657727,46.618045
T6 R6 WELS,Penobscot,19829,19829,19,y,y,n,,y,n,0,,5,NORTHERN,1,-68.500138,46.166020
T15 R9 WELS,Aroostook,03882,3882,03,y,y,n,,y,n,0,,5,NORTHERN,1,-68.887334,46.970021
Pleasant Point,Washington,29480,29480,29,y,n,y,y,n,n,79-161,coastal,4,EASTERN,1,-67.056514,44.963424
Damariscotta,Lincoln,15060,15060,15,y,n,y,y,n,n,65-018,coastal,2,MID-COAST,1,-69.489593,44.034860
Falmouth,Cumberland,05070,5070,05,y,n,y,n,n,n,55-350,coastal,1,SOUTHERN,1,-70.285118,43.749586
Unity Twp,Kennebec,11801,11801,11,y,y,n,,y,n,0,,2,MID-COAST,1,-69.426705,44.617305
Mariaville,Hancock,09200,9200,09,y,y,n,,n,n,0,,4,EASTERN,1,-68.389105,44.745309
Bar Harbor,Hancock,09030,9030,09,y,n,y,n,n,n,59-122B,coastal,4,EASTERN,1,-68.271148,44.385135
Appleton Twp,Somerset,25802,25802,25,y,y,n,,y,n,0,,3,WESTERN,1,-70.448970,45.489041
Osborn,Hancock,09230,9230,09,y,y,n,,y,n,0,,4,EASTERN,1,-68.252887,44.781133
Union,Knox,13150,13150,13,y,y,n,,n,n,0,,2,MID-COAST,1,-69.288493,44.220612
T3 R13 WELS,Piscataquis,21844,21844,21,y,y,n,,y,n,0,,5,NORTHERN,1,-69.386592,45.894141
Taunton & Raynham Academy Grant,Somerset,25803,25803,25,y,y,n,,y,n,0,,3,WESTERN,1,-69.795129,45.636883
T2 R8 WELS,Penobscot,19818,19818,19,y,y,n,,y,n,0,,5,NORTHERN,1,-68.759807,45.808434
Blake Gore,Somerset,25811,25811,25,y,y,n,,y,n,0,,3,WESTERN,1,-70.346405,45.829919
