District ID|SAU|School Year|Total Count
1000|Acton|2014-15|21
1284|Airline CSD|2014-15|5
1001|Alexander|2014-15|7
1004|Appleton|2014-15|16
1296|Arthur R. Gould Sch--LCYDC|2014-15|15
3231|Athens|2014-15|12
1007|Auburn|2014-15|304
1008|Augusta|2014-15|174
1009|Baileyville|2014-15|30
1011|Bangor|2014-15|320
1012|Bar Harbor|2014-15|39
3232|Baxter Academy for Technology and Science|2014-15|19
1014|Beals|2014-15|11
1016|Biddeford|2014-15|207
3154|Blue Hill Harbor School|2014-15|5
1017|Blue Hill|2014-15|30
1281|Boothbay-Boothbay Hbr CSD|2014-15|57
1021|Brewer|2014-15|118
1023|Bristol|2014-15|16
1024|Brooklin|2014-15|13
1025|Brooksville|2014-15|11
1026|Brunswick|2014-15|215
1028|Calais|2014-15|46
1029|Cape Elizabeth|2014-15|141
1032|Castine|2014-15|11
1033|Caswell|2014-15|5
1035|Charlotte|2014-15|10
3149|Chebeague Island|2014-15|7
3230|Cherryfield|2014-15|9
3210|Cornville Regional Charter School|2014-15|9
1040|Cranberry Isles|2014-15|7
3136|Cutler|2014-15|7
1044|Dayton|2014-15|12
1046|Dedham|2014-15|17
1289|Deer Isle-Stonington CSD|2014-15|44
3129|East Machias|2014-15|14
1052|East Millinocket|2014-15|24
1288|East Range CSD|2014-15|6
1053|Easton|2014-15|27
1054|Eastport|2014-15|19
1055|Edgecomb|2014-15|11
1269|Education in Unorganized Terr|2014-15|18
1056|Ellsworth|2014-15|106
1332|Erskine Academy|2014-15|44
3229|Eustis|2014-15|11
1057|Falmouth|2014-15|184
1058|Fayette|2014-15|9
3233|Fiddlehead School of Arts and Sciences|2014-15|11
1294|Five Town CSD|2014-15|60
1335|Foxcroft Academy|2014-15|41
1094|Frenchboro|2014-15|2
1320|George Stevens Academy|2014-15|31
1061|Georgetown|2014-15|13
1063|Glenburn|2014-15|40
1065|Gorham|2014-15|207
1290|Great Salt Bay CSD|2014-15|35
1069|Greenbush|2014-15|13
1070|Greenville|2014-15|21
1071|Hancock|2014-15|26
1073|Harmony|2014-15|9
3234|Harpswell Coastal Academy|2014-15|6
1074|Hermon|2014-15|93
1077|Hope|2014-15|18
1270|Indian Island|2014-15|22
1271|Indian Township|2014-15|17
1078|Isle Au Haut|2014-15|3
1079|Islesboro|2014-15|15
1081|Jefferson|2014-15|17
1307|John Bapst Memorial High School|2014-15|42
1082|Jonesboro|2014-15|7
1083|Jonesport|2014-15|16
1085|Kittery|2014-15|99
1087|Lamoine|2014-15|16
1356|Lee Academy|2014-15|25
1088|Lewiston|2014-15|406
1364|Lincoln Academy|2014-15|48
1091|Lincolnville|2014-15|21
1092|Lisbon|2014-15|95
1135|Long Island|2014-15|3
1095|Machias|2014-15|40
3137|Machiasport|2014-15|8
1097|Madawaska|2014-15|42
3200|Maine Academy of Natural Sciences|2014-15|6
1369|Maine Central Institute|2014-15|31
3237|Maine Connections Academy|2014-15|7
1297|ME Educational Ctr for the Deaf & Hard of Hearing|2014-15|22
1295|ME Sch of Science & Mathematics|2014-15|26
1105|Medway|2014-15|16
1106|Milford|2014-15|29
1107|Millinocket|2014-15|44
1109|Monhegan Plt School Dept|2014-15|1
1292|Moosabec CSD|2014-15|13
1112|Mount Desert|2014-15|23
1298|Mountain View Youth Dev Ctr|2014-15|16
1221|MSAD 27|2014-15|87
1240|MSAD 46|2014-15|86
1267|MSAD 76|2014-15|6
1283|Mt Desert CSD|2014-15|52
1116|New Sweden|2014-15|8
1117|Nobleboro|2014-15|14
1124|Orrington|2014-15|30
1125|Otis|2014-15|12
1127|Pembroke|2014-15|12
1128|Penobscot|2014-15|12
1129|Perry|2014-15|11
1272|Pleasant Point|2014-15|22
1134|Portland|2014-15|580
1136|Princeton|2014-15|12
1143|Robbinston|2014-15|5
3152|RSU 01|2014-15|183
3156|RSU 02|2014-15|229
1197|RSU 03/MSAD 03|2014-15|126
3157|RSU 04|2014-15|112
3158|RSU 05|2014-15|172
1200|RSU 06/MSAD 06|2014-15|314
1201|RSU 07/MSAD 07|2014-15|14
1202|RSU 08/MSAD 08|2014-15|22
3206|RSU 09|2014-15|217
3159|RSU 10|2014-15|239
1205|RSU 11/MSAD 11|2014-15|162
3160|RSU 12|2014-15|80
3161|RSU 13|2014-15|191
3162|RSU 14|2014-15|266
1209|RSU 15/MSAD 15|2014-15|178
3163|RSU 16|2014-15|153
1211|RSU 17/MSAD 17|2014-15|319
3164|RSU 18|2014-15|228
3165|RSU 19|2014-15|184
3166|RSU 20|2014-15|220
3167|RSU 21|2014-15|203
3217|RSU 22|2014-15|174
3168|RSU 23|2014-15|88
3169|RSU 24|2014-15|111
3170|RSU 25|2014-15|103
3171|RSU 26|2014-15|76
1222|RSU 28/MSAD 28|2014-15|70
1223|RSU 29/MSAD 29|2014-15|99
1224|RSU 30/MSAD 30|2014-15|20
1225|RSU 31/MSAD 31|2014-15|54
1226|RSU 32/MSAD 32|2014-15|30
1227|RSU 33/MSAD 33|2014-15|29
3172|RSU 34|2014-15|130
1229|RSU 35/MSAD 35|2014-15|168
1231|RSU 37/MSAD 37|2014-15|64
3173|RSU 38|2014-15|143
3174|RSU 39|2014-15|140
1234|RSU 40/MSAD 40|2014-15|184
1235|RSU 41/MSAD 41|2014-15|59
1236|RSU 42/MSAD 42|2014-15|36
1238|RSU 44/MSAD 44|2014-15|84
