county,southern,hmp_no,hmp_other,hmp_yes,zero_comp,zero_no,zero_yes,hrd_1,hrd_2,hrd_3,hrd_4,hrd_5,outrch_comp,outrch_no,outrch_yes
Androscoggin,1,7,1,1,2,4,3,0,0,1,6,2,0,9,0
Aroostook,0,13,1,10,3,3,19,0,2,8,13,2,0,21,4
Cumberland,1,8,6,14,8,10,10,1,10,5,8,4,2,18,8
Franklin,0,0,1,3,0,1,4,0,0,0,4,1,0,5,0
Hancock,0,3,0,7,1,3,6,0,0,1,6,3,0,9,1
Kennebec,1,7,0,8,2,4,9,0,1,4,6,4,0,12,3
Knox,0,1,1,0,0,0,2,0,0,1,0,1,0,2,0
Lincoln,0,4,0,5,2,4,3,0,0,1,6,2,0,7,2
Oxford,0,9,1,4,3,6,5,0,1,2,9,2,1,10,3
Penobscot,0,14,0,20,7,5,27,1,4,6,21,7,2,25,12
Piscataquis,0,1,0,3,0,0,4,0,2,0,1,1,0,4,0
Sagadahoc,1,4,0,5,0,4,5,0,0,0,5,4,1,6,2
Somerset,0,3,1,7,0,3,8,0,0,2,7,2,0,7,4
Waldo,0,7,0,4,3,5,4,0,1,4,6,1,0,7,5
Washington,0,1,1,9,0,0,11,0,0,1,5,5,0,9,2
York,1,12,2,11,1,7,18,0,5,4,10,7,3,11,12
