District ID|SAU|School Year|Number Eligible|Total Enrollment|Percent Eligible
1000|Acton|2014-15|107|194|55.2
1284|Airline CSD|2014-15|16|34|47.1
1001|Alexander|2014-15|30|51|58.8
1004|Appleton|2014-15|56|139|40.3
1296|Arthur R. Gould Sch--LCYDC|2014-15|**|28|32.1
3231|Athens|2014-15|72|112|64.3
1007|Auburn|2014-15|1,938|3,587|54.0
1008|Augusta|2014-15|1,354|2,251|60.2
1009|Baileyville|2014-15|177|310|57.1
1011|Bangor|2014-15|2,006|3,784|53.0
1012|Bar Harbor|2014-15|51|374|13.6
3232|Baxter Academy for Technology and Science|2014-15|42|220|19.1
1014|Beals|2014-15|33|68|48.5
1016|Biddeford|2014-15|1,387|2,449|56.6
3154|Blue Hill Harbor School|2014-15|**|17|17.6
1017|Blue Hill|2014-15|41|257|16.0
1281|Boothbay-Boothbay Hbr CSD|2014-15|267|594|44.9
1021|Brewer|2014-15|685|1,640|41.8
1023|Bristol|2014-15|75|161|46.6
1024|Brooklin|2014-15|24|64|37.5
1025|Brooksville|2014-15|19|59|32.2
1026|Brunswick|2014-15|799|2,358|33.9
1028|Calais|2014-15|332|526|63.1
1029|Cape Elizabeth|2014-15|135|1,640|8.2
1032|Castine|2014-15|13|48|27.1
1033|Caswell|2014-15|30|35|85.7
1035|Charlotte|2014-15|24|34|70.6
3149|Chebeague Island|2014-15|**|33|15.2
3230|Cherryfield|2014-15|90|121|74.4
3210|Cornville Regional Charter School|2014-15|48|106|45.3
1040|Cranberry Isles|2014-15|11|14|78.6
3136|Cutler|2014-15|25|68|36.8
1044|Dayton|2014-15|33|138|23.9
1046|Dedham|2014-15|40|190|21.1
1289|Deer Isle-Stonington CSD|2014-15|133|316|42.1
3129|East Machias|2014-15|100|185|54.1
1052|East Millinocket|2014-15|173|268|64.6
1288|East Range CSD|2014-15|24|33|72.7
1053|Easton|2014-15|74|205|36.1
1054|Eastport|2014-15|115|193|59.6
1055|Edgecomb|2014-15|38|84|45.2
1269|Education in Unorganized Terr|2014-15|88|103|85.4
1056|Ellsworth|2014-15|507|1,283|39.5
1332|Erskine Academy|2014-15|195|588|33.2
3229|Eustis|2014-15|75|77|97.4
1057|Falmouth|2014-15|151|2,146|7.0
1058|Fayette|2014-15|29|82|35.4
3233|Fiddlehead School of Arts and Sciences|2014-15|30|79|38.0
1294|Five Town CSD|2014-15|205|660|31.1
1335|Foxcroft Academy|2014-15|143|337|42.4
1094|Frenchboro|2014-15|**|**|100.0
1348|Fryeburg Academy|2014-15|129|400|32.2
1320|George Stevens Academy|2014-15|36|306|11.8
1061|Georgetown|2014-15|19|73|26.0
1063|Glenburn|2014-15|159|460|34.6
1065|Gorham|2014-15|652|2,641|24.7
1290|Great Salt Bay CSD|2014-15|165|439|37.6
1069|Greenbush|2014-15|99|136|72.8
1070|Greenville|2014-15|103|207|49.8
1071|Hancock|2014-15|100|211|47.4
1073|Harmony|2014-15|44|76|57.9
3234|Harpswell Coastal Academy|2014-15|48|124|38.7
1074|Hermon|2014-15|353|1,181|29.9
1077|Hope|2014-15|58|175|33.1
1270|Indian Island|2014-15|83|125|66.4
1271|Indian Township|2014-15|123|151|81.5
1078|Isle Au Haut|2014-15|**|**|100.0
1079|Islesboro|2014-15|31|95|32.6
1081|Jefferson|2014-15|98|193|50.8
1307|John Bapst Memorial High School|2014-15|29|447|6.5
1082|Jonesboro|2014-15|43|61|70.5
1083|Jonesport|2014-15|78|128|60.9
1085|Kittery|2014-15|349|1,084|32.2
1087|Lamoine|2014-15|42|104|40.4
1356|Lee Academy|2014-15|91|142|64.1
1088|Lewiston|2014-15|3,775|5,281|71.5
1364|Lincoln Academy|2014-15|162|483|33.5
1091|Lincolnville|2014-15|61|192|31.8
1092|Lisbon|2014-15|648|1,284|50.5
1095|Machias|2014-15|267|482|55.4
3137|Machiasport|2014-15|43|48|89.6
1097|Madawaska|2014-15|202|460|43.9
3200|Maine Academy of Natural Sciences|2014-15|37|72|51.4
1369|Maine Central Institute|2014-15|127|337|37.7
3237|Maine Connections Academy|2014-15|133|256|52.0
3151|Maine Department of Education|2014-15|43|126|34.1
1295|ME Sch of Science & Mathematics|2014-15|**|148|4.1
1105|Medway|2014-15|80|109|73.4
1106|Milford|2014-15|183|316|57.9
1107|Millinocket|2014-15|226|502|45.0
1109|Monhegan Plt School Dept|2014-15|**|**|75.0
1292|Moosabec CSD|2014-15|47|71|66.2
1112|Mount Desert|2014-15|18|190|9.5
1298|Mountain View Youth Dev Ctr|2014-15|**|28|28.6
